:+1:	👍
:cocos_islands:	🇨🇨
:coffee:	☕
:coffin:	⚰️
:coin:	🪙
:cold_face:	🥶
:cold_sweat:	😰
:collision:	💥
:colombia:	🇨🇴
:comet:	☄️
:comoros:	🇰🇲
:compass:	🧭
:compression:	🗜️
:computer:	💻
:computer_disk:	💽
:computer_mouse:	🖱
:confetti_ball:	🎊
:confounded:	😖
:confounded_face:	😖
:confused:	😕
:confused_face:	😕
:congo_brazzaville:	🇨🇬
:congo_kinshasa:	🇨🇩
:congratulations:	㊗️
:construction:	🚧
:construction_site:	🏗
:construction_worker:	👷‍♂️
:construction_worker_man:	👷‍♂️
:construction_worker_tone1:	👷🏻
:construction_worker_tone2:	👷🏼
:construction_worker_tone3:	👷🏽
:construction_worker_tone4:	👷🏾
:construction_worker_tone5:	👷🏿
:construction_worker_woman:	👷‍♀️
:control_knobs:	🎛️
:convenience_store:	🏪
:cook:	🧑‍🍳
:cook_islands:	🇨🇰
:cooked_rice:	🍚
:cookie:	🍪
:cooking:	🍳
:cool:	🆒
:cop:	👮‍♂️
:copyright:	©️
:coral:	🪸
:corn:	🌽
:costa_rica:	🇨🇷
:cote_divoire:	🇨🇮
:couch:	🛋
:couch_and_lamp:	🛋️
:counterclockwise_arrows_button:	🔄
:couple:	👫
:couple_mm:	👨‍❤️‍👨
:couple_with_heart:	💑
:couple_with_heart_man_man:	👨‍❤️‍👨
:couple_with_heart_woman_man:	👩‍❤️‍👨
:couple_with_heart_woman_woman:	👩‍❤️‍👩
:couple_ww:	👩‍❤️‍👩
:couplekiss:	💏
:couplekiss_man_man:	👨‍❤️‍💋‍👨
:couplekiss_man_woman:	👩‍❤️‍💋‍👨
:couplekiss_woman_woman:	👩‍❤️‍💋‍👩
:cow:	🐮
:cow2:	🐄
:cow_face:	🐮
:cowboy:	🤠
:cowboy_hat_face:	🤠
:crab:	🦀
:crayon:	🖍
:crazy_face:	🤪
:credit_card:	💳
:crescent_moon:	🌙
:cricket:	🦗
:cricket_bat_and_ball:	🏏
:cricket_game:	🏏
:croatia:	🇭🇷
:crocodile:	🐊
:croissant:	🥐
:cross:	✝
:cross_mark:	❌
:cross_mark_button:	❎
:crossed_fingers:	🤞
:crossed_flags:	🎌
:crossed_swords:	⚔️
:crown:	👑
:cruise_ship:	🛳
:crutch:	🩼
:cry:	😢
:crying_cat:	😿
:crying_cat_face:	😿
:crying_face:	😢
:crystal_ball:	🔮
:cuba:	🇨🇺
:cucumber:	🥒
:cup_with_straw:	🥤
:cupcake:	🧁
:cupid:	💘
:curacao:	🇨🇼
:curling_stone:	🥌
:curly_hair:	🦱
:curly_haired_man:	👨‍🦱
:curly_haired_person:	🧑‍🦱
:curly_haired_woman:	👩‍🦱
:curly_loop:	➰
:currency_exchange:	💱
:curry:	🍛
:curry_rice:	🍛
